No,店舗名,エリア,登録完了,都道府県,住所,電話番号,営業時間,定休日,Instagram,備考,料金期
33,札幌中央店,北海道,,北海道,,,,,,,0.5期
1,東京麻布十番店,関東,1,東京都,東京都港区麻布十番1-5-24 第三長門ビル201ゆめや治療院,03-6434-7838,11:00〜20:00,日曜日,@reifix_tokyo.azabuzyuban,"　",0.5期
2,東京中野店,関東,1,東京都,東京都中野区中央2丁目18-20 1F,03-6825-0307,9:00〜21:00,"　",@reifix_tokyo.nakano,予約必須,0期
3,茨城龍ヶ崎店,関東,1,茨城県,茨城県龍ヶ崎市高作町50-2,090-2665-9573,9:00〜19:00,不定休,@reifix_ibaraki.ryugasaki,"　",0期
27,群馬みどり店,関東,1,群馬県,,,,,,,0.5期
4,埼玉北本店,関東,1,埼玉県,埼玉県北本市北本1-96オリエント1F 斉藤珈琲店内,080-5186-0360,12:00〜14:00 / 17:00〜0:00,年中無休,@reifix_saitama.kitamoto,"　",0期
5,埼玉蕨,関東,1,埼玉県,埼玉県蕨市中央１丁目４−９ 野田ビル 1FパーソナルトレーニングジムRe★start,090-5534-2806,平日10:00〜19:00 / 土曜日10:00〜15:00,日祝,@reifix_saitama.warabi,"　",0.5期
6,千葉いすみ,関東,1,千葉県,千葉県いすみ市大原8760-1 川辺接骨院,080-1077-8713,月〜土 8:30〜20:00,日曜日,@reifix_chiba.isumi,"　",0.5期
7,千葉成田店,関東,1,千葉県,千葉県富里市七栄108-6ロコロコパーク,"　",月〜日12:30〜21:00,日曜日,@reifix_chiba.narita,完全予約制のため来店前にDM必要,0.5期
8,神奈川大和店,関東,1,神奈川県,神奈川県大和市桜森1-6-15 1F,090-9213-4400,9:00〜17:00,"　",@reifix_kanagawa.yamato,"　",0期
34,神奈川青葉台店,関東,,神奈川県,,,,,,,0.5期
9,石川金沢店,北陸,1,石川県,石川県金沢市打木町東1406有限会社真明空調設備内,076-287-3435,平日10:00〜20:00,"　",@reifix_ishikawa.kanazawa,"　",0.5期
10,愛知清須店,中部,1,愛知県,愛知県清須市西田中松本32,090-9916-0324,10:00〜18:00,日曜・祝日・月曜,@reifix_aichi_kiyosu,完全予約制,0.5期
11,長野長野店,中部,1,長野県,長野県長野市北尾張部539-3 カーサアクアリオ201,090-9763-8412,9:00〜17:00,土日祝日,@reifix_nagano.nagano,"　",0期
30,長野飯田店,中部,1,長野県,,,,,,,0.5期
12,静岡磐田店,中部,1,静岡県,静岡県磐田市草崎430-1 Replus内併設,070-8336-9859,11:00〜22:00,不定休,@reifix_shizuoka.iwata,予約制,0期
13,静岡富士宮店,中部,1,静岡県,静岡県富士宮市錦町2-10石川ビル1F,0544-66-3027,10:00〜20:00,不定休,@reifix_shizuoka.fujinomiya,"　",0.5期
32,静岡富士,中部,1,静岡県,,,,,,,0.5期
35,静岡清水店,中部,,静岡県,,,,,,,0.5期
36,静岡三島店,中部,1,静岡県,,,,,,,0.5期
14,大阪池田店,関西,1,大阪府,大阪府池田市井口堂1-5-16ブレアハウス1F HAIRLUXE店内,072-763-5055,9:00〜19:00,毎週月曜日・第3火曜日,@reifix_ikeda.osaka,"　",0期
15,大阪今里店,関西,1,大阪府,大阪府大阪市東成区大今里南1-5-9 5F コンディションSTUDIOポラリス店内,090-2005-0033,10:00〜20:00,日祝,@reifix_osaka.imazato,要連絡,0期
