商品コード,商品名,商品名（前）,サイズ,商品+サイズ,カテゴリ,販売定価,消費税込み,FC卸,FC利益,FC利益率,FC原価率,在庫数,商品画像,期,商品名+サイズ+期,商品名+期,商品名+期 (1),親レコード
,【完成プラン】ネックレス黒_45㌢,ネックレス黒,ネックレス45㌢,ネックレス黒_ネックレス45㌢,アクセサリー,3600,"¥3,960",1080,"¥2,520",70%,30%,,,0期,ネックレス黒_ネックレス45㌢_0期,【完成プラン】ネックレス黒_45㌢+0期,【完成プラン】ネックレス黒_45㌢+0期,
,【製造プラン】ネックレス黒_45㌢,ネックレス黒,ネックレス45㌢,ネックレス黒_ネックレス45㌢,アクセサリー,3600,"¥3,960",980,"¥2,620",73%,27%,,,0期,ネックレス黒_ネックレス45㌢_0期,【製造プラン】ネックレス黒_45㌢+0期,【製造プラン】ネックレス黒_45㌢+0期,
,【完成プラン】ネックレス黒_50㌢,ネックレス黒,ネックレス50㌢,ネックレス黒_ネックレス50㌢,アクセサリー,3600,"¥3,960",1080,"¥2,520",70%,30%,,,0期,ネックレス黒_ネックレス50㌢_0期,【完成プラン】ネックレス黒_50㌢+0期,【完成プラン】ネックレス黒_50㌢+0期,
,【製造プラン】ネックレス黒_50㌢,ネックレス黒,ネックレス50㌢,ネックレス黒_ネックレス50㌢,アクセサリー,3600,"¥3,960",980,"¥2,620",73%,27%,,,0期,ネックレス黒_ネックレス50㌢_0期,【製造プラン】ネックレス黒_50㌢+0期,【製造プラン】ネックレス黒_50㌢+0期,
,【完成プラン】ネックレス黒_60㌢,ネックレス黒,ネックレス60㌢,ネックレス黒_ネックレス60㌢,アクセサリー,3800,"¥4,180",1141,"¥2,659",70%,30%,,,0期,ネックレス黒_ネックレス60㌢_0期,【完成プラン】ネックレス黒_60㌢+0期,【完成プラン】ネックレス黒_60㌢+0期,
,【製造プラン】ネックレス黒_60㌢,ネックレス黒,ネックレス60㌢,ネックレス黒_ネックレス60㌢,アクセサリー,3800,"¥4,180",1041,"¥2,759",73%,27%,,,0期,ネックレス黒_ネックレス60㌢_0期,【製造プラン】ネックレス黒_60㌢+0期,【製造プラン】ネックレス黒_60㌢+0期,
,【完成プラン】ネックレス黒_45㌢,ネックレス黒,ネックレス45㌢,ネックレス黒_ネックレス45㌢,アクセサリー,3600,"¥3,960",1260,"¥2,340",65%,35%,,,0.5期,ネックレス黒_ネックレス45㌢_0.5期,【完成プラン】ネックレス黒_45㌢+0.5期,【完成プラン】ネックレス黒_45㌢+0.5期,
,【製造プラン】ネックレス黒_45㌢,ネックレス黒,ネックレス45㌢,ネックレス黒_ネックレス45㌢,アクセサリー,3600,"¥3,960",1160,"¥2,440",68%,32%,,,0.5期,ネックレス黒_ネックレス45㌢_0.5期,【製造プラン】ネックレス黒_45㌢+0.5期,【製造プラン】ネックレス黒_45㌢+0.5期,
,【完成プラン】ネックレス黒_50㌢,ネックレス黒,ネックレス50㌢,ネックレス黒_ネックレス50㌢,アクセサリー,3600,"¥3,960",1260,"¥2,340",65%,35%,,,0.5期,ネックレス黒_ネックレス50㌢_0.5期,【完成プラン】ネックレス黒_50㌢+0.5期,【完成プラン】ネックレス黒_50㌢+0.5期,
,【製造プラン】ネックレス黒_50㌢,ネックレス黒,ネックレス50㌢,ネックレス黒_ネックレス50㌢,アクセサリー,3600,"¥3,960",1160,"¥2,440",68%,32%,,,0.5期,ネックレス黒_ネックレス50㌢_0.5期,【製造プラン】ネックレス黒_50㌢+0.5期,【製造プラン】ネックレス黒_50㌢+0.5期,
